X,Y,Name,Notes,ID_no,Area_ha
-74.1174484004491,1.69578147888851,Amazon - Colombia,,"2",8247134.80137
-62.373382296435,-24.2395235250537,Grand Chaco - Paraguay/Argentina,,"6",46528981.4706
-70.2989580975831,-12.4040938509382,Amazon - Peru,,"3",11890644.5043
-75.118316998551,-8.12179782304598,Amazon - Peru,,"3",11890644.5043
111.240354550851,1.16324299312821,Borneo,,"22",35729136.0851
146.915769418527,-8.88990113222494,New Guinea,,"23",35900494.8898
140.677520509582,-6.48853023589609,New Guinea,,"23",35900494.8898
136.040808722649,-3.14437025607328,New Guinea,,"23",35900494.8898
142.403469829223,-4.40668643178687,New Guinea,,"23",35900494.8898
132.94774738153,-1.39394079450101,New Guinea,,"23",35900494.8898
-66.0247756977933,4.85703939244623,Amazon - Venezuela/Guyana,,"5",20709384.6149
-60.3419476985764,6.20050751684003,Amazon - Venezuela/Guyana,,"5",20709384.6149
44.5130326975824,-20.6759485705869,Madagascar,,"17",20185051.0264
47.8315282967947,-21.2866408474067,Madagascar,,"17",20185051.0264
45.1948157703184,-16.2627221706282,Madagascar,,"17",20185051.0264
49.2477610749947,-13.5324975118927,Madagascar,,"17",20185051.0264
11.6987211051156,4.55672451867755,Central Africa - Cameroon,,"11",10371166.1255
106.103821092277,13.059947681182,Mekong - Cambodia,,"18",6713213.62716
13.2335415848421,1.12505742531781,Centra Africa - Cameroon/Gabon/Congo,,"12",11570396.6782
22.2637115180933,-5.4144045563676,Central Africa - CAR/DRC,,"13",45861372.9223
25.6343317001031,4.00289460496656,Central Africa - CAR/DRC,,"13",45861372.9223
24.1746670087764,-13.746153212855,Eastern Africa - Zambia,,"15",16008954.8361
28.0602119676024,-13.1019145183267,Eastern Africa - Zambia,,"15",16008954.8361
26.1764431259167,-10.8671072846774,Eastern Africa - Zambia,,"15",16008954.8361
19.626362320269,-14.6081681583326,Central Africa - Angola,,"14",10606160.3513
19.9426536707641,-11.8046825897769,Central Africa - Angola,,"14",10606160.3513
-47.7525724446393,-10.5893053852047,Cerrado Brazil,,"7",72119369.621
-90.6610979483136,18.6108129992425,Mesoamerica - Mexico/Guatemala,,"9",13510103.5639
-2.10899921089827,6.75458440874025,West Africa,,"10",30174326.9075
-9.6766403200558,6.97271842400306,West Africa,,"10",30174326.9075
106.599501321839,15.7994623947105,Mekong - Central Annamites,,"19",3633327.76708
104.198010692099,-1.63689370265335,Indonesia - Sumatra,,"21",14368402.6579
102.369250855056,-2.45075060541084,Indonesia - Sumatra,,"21",14368402.6579
102.45845538211,0.538638078773478,Indonesia - Sumatra,,"21",14368402.6579
146.973831711516,-43.8594900239375,Eastern Australia,,"24",101899466.295
147.001442570047,-43.8539643332051,Eastern Australia,,"24",101899466.295
147.024794552073,-43.8475793126769,Eastern Australia,,"24",101899466.295
146.812809104523,-43.6076097942025,Eastern Australia,,"24",101899466.295
146.791845127333,-43.6064949656855,Eastern Australia,,"24",101899466.295
146.792431636776,-43.6056851396647,Eastern Australia,,"24",101899466.295
146.640318148178,-43.5891399267256,Eastern Australia,,"24",101899466.295
146.639925881086,-43.5877596229592,Eastern Australia,,"24",101899466.295
146.654722520887,-43.5869454449758,Eastern Australia,,"24",101899466.295
146.657115744679,-43.5842493160588,Eastern Australia,,"24",101899466.295
146.602278351846,-43.5714301082706,Eastern Australia,,"24",101899466.295
146.582912072676,-43.5698092689447,Eastern Australia,,"24",101899466.295
146.522201305913,-43.5730403418944,Eastern Australia,,"24",101899466.295
146.994272036567,-43.551824531455,Eastern Australia,,"24",101899466.295
146.926187683549,-43.5447308408035,Eastern Australia,,"24",101899466.295
147.287802451819,-43.5349399791723,Eastern Australia,,"24",101899466.295
147.287909412278,-43.5341554493231,Eastern Australia,,"24",101899466.295
147.288213408518,-43.5330500958869,Eastern Australia,,"24",101899466.295
147.299647453394,-43.5328249647226,Eastern Australia,,"24",101899466.295
147.298952773397,-43.5321553162277,Eastern Australia,,"24",101899466.295
147.297547257871,-43.5291054613421,Eastern Australia,,"24",101899466.295
147.298706088253,-43.5275899999999,Eastern Australia,,"24",101899466.295
147.297255367464,-43.5265948778098,Eastern Australia,,"24",101899466.295
147.293145922244,-43.5261497441952,Eastern Australia,,"24",101899466.295
146.997733573609,-43.5288454111673,Eastern Australia,,"24",101899466.295
147.301016650783,-43.5191299020643,Eastern Australia,,"24",101899466.295
147.301672895801,-43.5173395760009,Eastern Australia,,"24",101899466.295
147.297982288381,-43.5162202135331,Eastern Australia,,"24",101899466.295
147.291935279236,-43.5120247153491,Eastern Australia,,"24",101899466.295
147.284671173832,-43.5072001704886,Eastern Australia,,"24",101899466.295
147.281103875,-43.50564,Eastern Australia,,"24",101899466.295
147.27555959887,-43.5018447993601,Eastern Australia,,"24",101899466.295
147.271545002206,-43.5004502069014,Eastern Australia,,"24",101899466.295
147.132890101395,-43.4992602517149,Eastern Australia,,"24",101899466.295
147.146384999992,-43.4989505661462,Eastern Australia,,"24",101899466.295
147.130582133212,-43.4988699594927,Eastern Australia,,"24",101899466.295
147.14631459662,-43.4982751101304,Eastern Australia,,"24",101899466.295
147.133482386343,-43.4981649404046,Eastern Australia,,"24",101899466.295
147.137137497863,-43.4979305593665,Eastern Australia,,"24",101899466.295
147.145825,-43.49787,Eastern Australia,,"24",101899466.295
147.132777499785,-43.497474641048,Eastern Australia,,"24",101899466.295
147.14547713924,-43.4973299999999,Eastern Australia,,"24",101899466.295
147.248184706953,-43.4944498709302,Eastern Australia,,"24",101899466.295
147.249325091348,-43.4944194630957,Eastern Australia,,"24",101899466.295
